date,country,category,rim_diameter,sales
2019-01-01,7c099db665,de5a6f7811,16,302724.0
2019-01-01,7c099db665,de5a6f7811,17,949427.0
2019-01-01,7c099db665,de5a6f7811,18,346561.0
2019-01-01,7c099db665,de5a6f7811,19,98092.0
2019-01-01,7c099db665,de5a6f7811,20,44356.0
2019-01-01,7c099db665,de5a6f7811,21,208.0
2019-01-01,7c099db665,de5a6f7811,22,2227.0
2019-01-01,7c099db665,a7e721a9ec,13,22.0
2019-01-01,7c099db665,a7e721a9ec,14,878.0
2019-01-01,7c099db665,a7e721a9ec,15,6576.0
2019-01-01,7c099db665,a7e721a9ec,16,16004.0
2019-01-01,7c099db665,a7e721a9ec,17,13415.0
2019-01-01,7c099db665,a7e721a9ec,18,17769.0
2019-01-01,7c099db665,a7e721a9ec,19,3966.0
2019-01-01,7c099db665,a7e721a9ec,20,4553.0
2019-01-01,7c099db665,a7e721a9ec,21,404.0
2019-01-01,7c099db665,a7e721a9ec,22,1008.0
2019-01-01,7c099db665,a7e721a9ec,23,0.0
2019-01-01,7c099db665,bbeebd879e,13,0.0
2019-01-01,7c099db665,bbeebd879e,14,0.0
2019-01-01,7c099db665,bbeebd879e,15,2773.0
2019-01-01,7c099db665,bbeebd879e,16,43247.0
2019-01-01,7c099db665,bbeebd879e,17,506545.0
2019-01-01,7c099db665,bbeebd879e,18,500733.0
2019-01-01,7c099db665,bbeebd879e,19,235144.0
2019-01-01,7c099db665,bbeebd879e,20,165991.0
2019-01-01,7c099db665,bbeebd879e,21,11243.0
2019-01-01,7c099db665,bbeebd879e,22,6200.0
2019-01-01,7c099db665,bbeebd879e,23,10.0
2019-01-01,7c099db665,bbeebd879e,24,1350.0
2019-02-01,010885e44f,00c2ae96f6,13,0.0
2019-02-01,010885e44f,00c2ae96f6,14,104.0
2019-02-01,010885e44f,00c2ae96f6,15,659.0
2019-02-01,010885e44f,00c2ae96f6,16,52407.0
2019-02-01,010885e44f,00c2ae96f6,17,52738.0
2019-02-01,010885e44f,00c2ae96f6,18,34151.0
2019-02-01,010885e44f,00c2ae96f6,19,293.0
2019-02-01,010885e44f,00c2ae96f6,20,30523.0
2019-02-01,010885e44f,00c2ae96f6,22,225.0
2019-02-01,010885e44f,00c2ae96f6,24,31.0
2019-02-01,010885e44f,badf24e062,12,56.0
2019-02-01,010885e44f,badf24e062,13,1481.0
2019-02-01,010885e44f,badf24e062,14,19425.0
2019-02-01,010885e44f,badf24e062,15,59513.0
2019-02-01,010885e44f,badf24e062,16,75055.0
2019-02-01,010885e44f,badf24e062,17,31523.0
2019-02-01,010885e44f,badf24e062,18,6150.0
2019-02-01,010885e44f,badf24e062,19,232.0
2019-02-01,010885e44f,badf24e062,20,152.0
2019-02-01,010885e44f,44bd7ae60f,14,3459.0
2019-02-01,010885e44f,44bd7ae60f,15,61629.0
2019-02-01,010885e44f,44bd7ae60f,16,121102.0
2019-02-01,010885e44f,44bd7ae60f,17,57037.0
2019-02-01,010885e44f,44bd7ae60f,18,29476.0
2019-02-01,010885e44f,44bd7ae60f,19,6608.0
2019-02-01,010885e44f,44bd7ae60f,20,4377.0
2019-02-01,010885e44f,44bd7ae60f,21,9.0
2019-02-01,010885e44f,44bd7ae60f,22,0.0
2019-02-01,010885e44f,d974f028af,14,591.0
2019-02-01,010885e44f,d974f028af,15,20603.0
2019-02-01,010885e44f,d974f028af,16,81959.0
2019-02-01,010885e44f,d974f028af,17,234163.0
2019-02-01,010885e44f,d974f028af,18,116613.0
2019-02-01,010885e44f,d974f028af,19,41351.0
2019-02-01,010885e44f,d974f028af,20,94575.0
2019-02-01,010885e44f,d974f028af,21,3451.0
2019-02-01,010885e44f,d974f028af,22,9200.0
2019-02-01,010885e44f,d974f028af,23,7.0
2019-02-01,010885e44f,d974f028af,24,132.0
2019-02-01,010885e44f,d974f028af,26,0.0
2019-02-01,010885e44f,d974f028af,28,0.0
2019-02-01,010885e44f,de5a6f7811,13,0.0
2019-02-01,010885e44f,de5a6f7811,14,0.0
2019-02-01,010885e44f,de5a6f7811,15,5509.0
2019-02-01,010885e44f,de5a6f7811,16,29971.0
2019-02-01,010885e44f,de5a6f7811,17,70644.0
2019-02-01,010885e44f,de5a6f7811,18,39909.0
2019-02-01,010885e44f,de5a6f7811,19,12214.0
2019-02-01,010885e44f,de5a6f7811,20,5236.0
2019-02-01,010885e44f,de5a6f7811,21,59.0
2019-02-01,010885e44f,de5a6f7811,22,549.0
2019-02-01,010885e44f,de5a6f7811,24,0.0
2019-02-01,010885e44f,de5a6f7811,26,0.0
2019-02-01,010885e44f,a7e721a9ec,13,4.0
2019-02-01,010885e44f,a7e721a9ec,14,1289.0
2019-02-01,010885e44f,a7e721a9ec,15,981.0
2019-02-01,010885e44f,a7e721a9ec,16,9006.0
2019-02-01,010885e44f,a7e721a9ec,17,7471.0
2019-02-01,010885e44f,a7e721a9ec,18,5105.0
2019-02-01,010885e44f,a7e721a9ec,19,1908.0
2019-02-01,010885e44f,a7e721a9ec,20,1816.0
2019-02-01,010885e44f,a7e721a9ec,21,447.0
2019-02-01,010885e44f,a7e721a9ec,22,82.0
2019-02-01,010885e44f,a7e721a9ec,23,0.0
2019-02-01,010885e44f,bbeebd879e,14,0.0
2019-02-01,010885e44f,bbeebd879e,15,232.0
2019-02-01,010885e44f,bbeebd879e,16,4954.0
2019-02-01,010885e44f,bbeebd879e,17,32647.0
2019-02-01,010885e44f,bbeebd879e,18,43948.0
2019-02-01,010885e44f,bbeebd879e,19,23413.0
2019-02-01,010885e44f,bbeebd879e,20,14245.0
2019-02-01,010885e44f,bbeebd879e,21,1293.0
2019-02-01,010885e44f,bbeebd879e,22,275.0
2019-02-01,010885e44f,bbeebd879e,23,0.0
2019-02-01,010885e44f,bbeebd879e,24,0.0
2019-02-01,7c099db665,00c2ae96f6,12,0.0
2019-02-01,7c099db665,00c2ae96f6,13,38.0
2019-02-01,7c099db665,00c2ae96f6,14,1413.0
2019-02-01,7c099db665,00c2ae96f6,15,5068.0
2019-02-01,7c099db665,00c2ae96f6,16,508501.0
2019-02-01,7c099db665,00c2ae96f6,17,248956.0
2019-02-01,7c099db665,00c2ae96f6,18,117374.0
2019-02-01,7c099db665,00c2ae96f6,19,385.0
2019-02-01,7c099db665,00c2ae96f6,20,136531.0
2019-02-01,7c099db665,00c2ae96f6,22,2301.0
2019-02-01,7c099db665,00c2ae96f6,24,94.0
2019-02-01,7c099db665,badf24e062,12,151.0
2019-02-01,7c099db665,badf24e062,13,13537.0
2019-02-01,7c099db665,badf24e062,14,192195.0
2019-02-01,7c099db665,badf24e062,15,506648.0
2019-02-01,7c099db665,badf24e062,16,690005.0
2019-02-01,7c099db665,badf24e062,17,254903.0
2019-02-01,7c099db665,badf24e062,18,38907.0
2019-02-01,7c099db665,badf24e062,19,1296.0
2019-02-01,7c099db665,badf24e062,20,1702.0
2019-02-01,7c099db665,44bd7ae60f,10,8.0
2019-02-01,7c099db665,44bd7ae60f,13,0.0
2019-02-01,7c099db665,44bd7ae60f,14,60522.0
2019-02-01,7c099db665,44bd7ae60f,15,678617.0
2019-02-01,7c099db665,44bd7ae60f,16,1250347.0
2019-02-01,7c099db665,44bd7ae60f,17,447158.0
2019-02-01,7c099db665,44bd7ae60f,18,257498.0
2019-02-01,7c099db665,44bd7ae60f,19,29409.0
